Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 02:55:00-04,ND0080,N,7,61.42,0.37%,2,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:00:00-04,ND0080,N,11,61.64,0.38%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:05:00-04,ND0080,N,7,59.17,0.39%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:10:00-04,ND0080,N,12,58.31,0.45%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:15:00-04,ND0080,N,21,63.31,1.13%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:20:00-04,ND0080,N,12,63.62,0.34%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:25:00-04,ND0080,N,15,63.16,0.71%,2,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:30:00-04,ND0080,N,16,59.87,1.06%,2,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:35:00-04,ND0080,N,15,59.45,0.84%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:40:00-04,ND0080,N,16,61.76,0.50%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:45:00-04,ND0080,N,24,60.24,0.93%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:50:00-04,ND0080,N,18,60.01,0.75%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 03:55:00-04,ND0080,N,10,61.09,0.47%,2,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:00:00-04,ND0080,N,14,58.13,0.52%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:05:00-04,ND0080,N,13,64.81,0.44%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:20:00-04,ND0080,N,24,64.18,0.80%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:25:00-04,ND0080,N,23,69.19,1.07%,2,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:30:00-04,ND0080,N,33,63.01,1.14%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:35:00-04,ND0080,N,39,64.11,1.49%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:40:00-04,ND0080,N,39,60.06,1.34%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:45:00-04,ND0080,N,42,63.89,1.18%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:50:00-04,ND0080,N,50,60.60,1.65%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 04:55:00-04,ND0080,N,45,63.59,1.33%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:00:00-04,ND0080,N,49,62.60,1.76%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:05:00-04,ND0080,N,48,62.48,1.85%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:10:00-04,ND0080,N,58,64.18,1.92%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:15:00-04,ND0080,N,79,64.30,2.49%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:20:00-04,ND0080,N,88,64.05,2.73%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 05:25:00-04,ND0080,N,77,64.13,2.34%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
